Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
addon-laundry,Laundry Rescue Pack,"One box of 15 Bounce dryer sheets and Travel Size Tide one-load liquid detergent (3).",InstaMom University,Add-on,add-on,TRUE,Title,Default Title,ADDON-LAUNDRY,shopify,0,deny,manual,15.00,TRUE,TRUE,active
addon-snacks-cookies,Extra Snack Sleeve: Cookies,"Includes one to-go cup of Oreos (3.5 oz), one to-go pack of Chips Ahoy (3.5 oz), and five individually-wrapped Biscoff cookies.",InstaMom University,Add-on,"add-on,snacks",TRUE,Title,Default Title,ADDON-COOKIES,shopify,0,deny,manual,15.00,TRUE,TRUE,active
addon-snacks-chips,Extra Snack Sleeve: Chips,"Five Lay's variety snack-sized chips and a Pringles Original one-serving can (2.38 oz).",InstaMom University,Add-on,"add-on,snacks",TRUE,Title,Default Title,ADDON-CHIPS,shopify,0,deny,manual,10.00,TRUE,TRUE,active
addon-toilet-paper,Roll of Two-Ply Toilet Paper,A roll of two-ply toilet paper (trust us).,InstaMom University,Add-on,add-on,TRUE,Title,Default Title,ADDON-TP,shopify,0,deny,manual,4.00,TRUE,TRUE,active
addon-popcorn-bottle,Extra Popcorn — 14 oz Bottle,A 14 oz bottle of popcorn kernels to refill the popper.,InstaMom University,Add-on,"add-on,popcorn",TRUE,Title,Default Title,ADDON-POPCORN-BTL,shopify,0,deny,manual,7.00,TRUE,TRUE,active
addon-popcorn-seasoning,Extra Mini Popcorn Seasoning: White Cheddar,A mini shaker of White Cheddar popcorn seasoning.,InstaMom University,Add-on,"add-on,popcorn",TRUE,Title,Default Title,ADDON-POPCORN-SEAS,shopify,0,deny,manual,5.00,TRUE,TRUE,active
addon-charging-cable,3-in-1 Charging Cable (3.5 ft),A 3.5-foot 3-in-1 charging cable.,InstaMom University,Add-on,add-on,TRUE,Title,Default Title,ADDON-CABLE,shopify,0,deny,manual,12.00,TRUE,TRUE,active
addon-personalized-card,Personalized Message Card + 'You Are Loved' Sticker,"A card with your personalized message and a 'You Are Loved' sticker. Add your message in the note field at checkout.",InstaMom University,Add-on,"add-on,gift",TRUE,Title,Default Title,ADDON-CARD,shopify,0,deny,manual,5.00,FALSE,TRUE,active
