Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Grams,Variant Weight Unit,Status
welcome-week-starter,Welcome Week Starter,"Packed full of dorm necessities, including a popcorn starter set, mini first aid kit, utensils, candy, and other practical goodies. Academic coaching offers guidance on new experiences like reading a syllabus and living with a roommate.",InstaMom University,Package,"package,first-year-starter,welcome-week,pre-order",TRUE,Title,Default Title,BOX-WELCOME,shopify,0,continue,manual,58.00,TRUE,TRUE,1800,oz,active
homesick-helper,Homesick Helper,"Comfort snacks and calming items to ease the stress of the college transition. A microwavable, stuffed lavender Warmie, perfect for a cozy cuddle. Coaching guidance for increasing campus engagement and finding their people.",InstaMom University,Package,"package,homesick-helper,welcome-week,coming-soon",FALSE,Title,Default Title,BOX-HOMESICK,shopify,0,deny,manual,52.00,TRUE,TRUE,1800,oz,draft
study-sprint-box,Study Sprint Box,"Heavy on academic coaching, tools for positive reframing, and tips for utilizing academic support resources on campus. Includes study and workload planning supplies, a focus timer, and—of course!—some tasty snacks.",InstaMom University,Package,"package,focused-achiever,midterms,coming-soon",FALSE,Title,Default Title,BOX-STUDY,shopify,0,deny,manual,64.00,TRUE,TRUE,1800,oz,draft
warm-hug-from-home,Warm Hug from Home,"Soft, gentle tissues, soothing throat drops, soup and crackers, tea, and a mini honey bear whose cuteness is as comforting as its contents. Coaching helps students catch up with work and communicate with professors during and after an illness.",InstaMom University,Package,"package,wellness-reset,sick-day,pre-order",FALSE,Title,Default Title,BOX-SICK,shopify,0,deny,manual,48.00,TRUE,TRUE,1800,oz,draft
finals-reset-box,Finals Reset Box,"Sleep-friendly comforts, hydration helpers, calm checklists, and professor-informed tips for finishing strong without running on panic.",InstaMom University,Package,"package,wellness-reset,finals,coming-soon",FALSE,Title,Default Title,BOX-FINALS,shopify,0,deny,manual,64.00,TRUE,TRUE,1800,oz,draft
room-refresh,Room Refresh,"If they can smell it, this package can refresh it—the air, the bathroom, their shoes, their laundry, their breath. Air freshener sprays and diffusers, sneaker balls, and mints and gum will keep their spaces pleasant so they can focus on what matters.",InstaMom University,Package,"package,first-year-starter,room-refresh,coming-soon",FALSE,Title,Default Title,BOX-REFRESH,shopify,0,deny,manual,45.00,TRUE,TRUE,1800,oz,draft
seasonal-celebrations,Seasonal Celebrations,Holiday and seasonal treats customized for favorite holidays and big life events.,InstaMom University,Package,"package,focused-achiever,holiday,seasonal",FALSE,Title,Default Title,BOX-SEASONAL,shopify,0,deny,manual,68.00,TRUE,TRUE,1800,oz,draft
protein-fiend-box,Protein Fiend Box,"Packed with high-protein shakes, jerky, Quest chips, pastries, and sweet snacks to fuel your student through study sessions and workouts.",InstaMom University,Package,"package,protein-fiend,now-shipping",TRUE,Title,Default Title,BOX-PROTEIN,shopify,30,continue,manual,60.00,TRUE,TRUE,1843,oz,active
